band,filename,route,frame_idx,weather_id,scene_type,camera,orig_score,masked_score,masked_score_delta,masked_embedding_l2,max_l2,max_positive_score_delta,mean_l2,mean_abs_score_delta,max_row,max_col
selected,ConstructionObstacle_Town12_Route78_Weather0__00061.pt,ConstructionObstacle_Town12_Route78_Weather0,61,0,normal,rgb_front,0.0,0.006968641187995672,0.006968641187995672,0.05902080237865448,0.05902080237865448,0.006968641187995672,0.026729822158813477,0.0010801393073052168,6,5
selected,EnterActorFlow_Town03_Route132_Weather2__00448.pt,EnterActorFlow_Town03_Route132_Weather2,448,2,normal,rgb_front,0.3484320640563965,0.3484320640563965,0.0,0.03801540657877922,0.03801540657877922,0.0,0.022348998114466667,0.0,1,5
selected,VehicleTurningRoute_Town15_Route504_Weather10__00100.pt,VehicleTurningRoute_Town15_Route504_Weather10,100,10,adverse,rgb_front,1.0,0.99303138256073,-0.0069686174392700195,0.032814811915159225,0.032814811915159225,0.0,0.013529578223824501,6.968617526581511e-05,5,4
