weather_id,scene_type,count,score_mean,score_p50,score_p90
0,normal,213,0.18084114442754085,0.13588850174216027,0.3623693379790941
1,normal,120,0.15284552845528457,0.1289198606271777,0.2655052264808363
5,adverse,169,0.5342349957734573,0.37630662020905925,1.0
6,adverse,292,0.4519712662880053,0.42160278745644597,0.5435540069686411
10,adverse,207,0.2384318874244643,0.2857142857142857,0.37282229965156793
11,adverse,195,0.3262038774233896,0.34843205574912894,0.3993031358885017
14,adverse,205,0.1964306960142772,0.2264808362369338,0.3554006968641115
15,adverse,361,0.34008319901164985,0.3519163763066202,0.3588850174216028
18,adverse,173,0.8391774586614569,0.9372822299651568,1.0
25,adverse,150,0.1824854819976771,0.15331010452961671,0.28606271777003484
