band,filename,route,frame_idx,weather_id,scene_type,camera,orig_score,masked_score,masked_score_delta,masked_embedding_l2,max_l2,max_positive_score_delta,mean_l2,mean_abs_score_delta,max_row,max_col
selected,ConstructionObstacle_Town12_Route78_Weather0__00061.pt,ConstructionObstacle_Town12_Route78_Weather0,61,0,normal,rgb_front,0.0,0.006968641187995672,0.006968641187995672,0.05809967964887619,0.05809967964887619,0.006968641187995672,0.025498969480395317,0.000940766534768045,6,5
selected,EnterActorFlow_Town03_Route132_Weather2__00448.pt,EnterActorFlow_Town03_Route132_Weather2,448,2,normal,rgb_front,0.3484320640563965,0.3484320640563965,0.0,0.03619292005896568,0.03619292005896568,0.0,0.02054585888981819,0.0,1,5
selected,VehicleTurningRoute_Town15_Route504_Weather10__00100.pt,VehicleTurningRoute_Town15_Route504_Weather10,100,10,adverse,rgb_front,1.0,0.99303138256073,-0.0069686174392700195,0.03169522434473038,0.03169522434473038,0.0,0.012410050258040428,6.968617526581511e-05,5,4
